Year,State,Government_Function,Full_Time_Employment,Full_Time_Payroll
2019,OH,Fire Protection Total,0,0
2019,OH,Fire Protection - Firefighters,0,0
2019,OH,Fire Protection - Other,0,0
2019,OH,Corrections,13388,67043322
2019,OH,Highways,5616,30845442
2019,OH,Air Transportation,0,0
2019,OH,Sea and Inland Port Facilities,0,0
2019,OH,Public Welfare,2537,16384877
2019,OH,Health,2669,17231198
2019,OH,Hospitals,11818,65805617
2019,OH,Social Insurance Administration,1321,7304286
2019,OH,Solid Waste Management,0,0
2019,OH,Sewerage,0,0
2019,OH,Parks and Recreation,376,1922806
2019,OH,Housing and Community Development,0,0
2019,OH,Natural Resources,2268,11909422
2019,OH,Water Supply,0,0
2019,OH,Electric Power,0,0
2019,OH,Gas Supply,0,0
2019,OH,Transit,0,0
2019,OH,Education Total,52201,311440658
2019,OH,Education - Elementary and Secondary Total,0,0
2019,OH,Education - Elementary and Secondary Instructional,0,0
2019,OH,Education - Elementary and Secondary Other,0,0
2019,OH,Education - Higher Education Total,50103,299271212
2019,OH,Education - Higher Education Instructional,16579,136893349
2019,OH,Education - Higher Education Other,33524,162377863
2019,OH,Education - Other,2098,12169446
2019,OH,Libraries,0,0
2019,OH,State liquor stores,0,0
2019,OH,All other and unallocable,4264,26401446
2019,OK,Total - All Government Employment Functions,56938,263739633
2019,OK,Financial Administration,2273,10381425
2019,OK,Other Government Administration,423,1752694
2019,OK,Judicial and Legal,2473,12333754
2019,OK,Police Protection Total,1906,10428425
2019,OK,Police Protection - Persons with Power of Arrest,939,6440354
2019,OK,Police Protection - Other,967,3988071
2019,OK,Fire Protection Total,0,0
2019,OK,Fire Protection - Firefighters,0,0
2019,OK,Fire Protection - Other,0,0
2019,OK,Corrections,4849,17721958
2019,OK,Highways,2881,12373681
2019,OK,Air Transportation,10,57038
2019,OK,Sea and Inland Port Facilities,0,0
2019,OK,Public Welfare,6861,23284277
2019,OK,Health,4710,20416308
2019,OK,Hospitals,1003,3990087
2019,OK,Social Insurance Administration,737,3976512
2019,OK,Solid Waste Management,75,403328
2019,OK,Sewerage,0,0
2019,OK,Parks and Recreation,537,1756008
2019,OK,Housing and Community Development,0,0
2019,OK,Natural Resources,1519,5957931
2019,OK,Water Supply,0,0
2019,OK,Electric Power,617,4302620
2019,OK,Gas Supply,0,0
2019,OK,Transit,0,0
2019,OK,Education Total,23809,123987227
2019,OK,Education - Elementary and Secondary Total,0,0
2019,OK,Education - Elementary and Secondary Instructional,0,0
2019,OK,Education - Elementary and Secondary Other,0,0
2019,OK,Education - Higher Education Total,22236,117266510
2019,OK,Education - Higher Education Instructional,6964,52596396
2019,OK,Education - Higher Education Other,15272,64670114
2019,OK,Education - Other,1573,6720717
2019,OK,Libraries,0,0
2019,OK,State liquor stores,0,0
2019,OK,All other and unallocable,2255,10616360
2019,OR,Total - All Government Employment Functions,65741,381608317
2019,OR,Financial Administration,4147,24325910
2019,OR,Other Government Administration,1020,6583944
2019,OR,Judicial and Legal,3229,21600244
2019,OR,Police Protection Total,1422,9956219
2019,OR,Police Protection - Persons with Power of Arrest,694,5777208
2019,OR,Police Protection - Other,728,4179011
2019,OR,Fire Protection Total,0,0
2019,OR,Fire Protection - Firefighters,0,0
2019,OR,Fire Protection - Other,0,0
2019,OR,Corrections,5248,30988363
2019,OR,Highways,3807,22907264
2019,OR,Air Transportation,14,85551
2019,OR,Sea and Inland Port Facilities,0,0
2019,OR,Public Welfare,9531,25815462
2019,OR,Health,1738,10177581
2019,OR,Hospitals,6669,38865868
2019,OR,Social Insurance Administration,2179,16678375
2019,OR,Solid Waste Management,0,0
2019,OR,Sewerage,0,0
2019,OR,Parks and Recreation,474,2370173
2019,OR,Housing and Community Development,0,0
2019,OR,Natural Resources,2646,14378062
2019,OR,Water Supply,0,0
2019,OR,Electric Power,0,0
2019,OR,Gas Supply,0,0
2019,OR,Transit,0,0
2019,OR,Education Total,22063,147409158
2019,OR,Education - Elementary and Secondary Total,0,0
2019,OR,Education - Elementary and Secondary Instructional,0,0
2019,OR,Education - Elementary and Secondary Other,0,0
2019,OR,Education - Higher Education Total,21128,141896929
2019,OR,Education - Higher Education Instructional,7390,60560158
2019,OR,Education - Higher Education Other,13738,81336771
2019,OR,Education - Other,935,5512229
2019,OR,Libraries,0,0
2019,OR,State liquor stores,234,1338111
2019,OR,All other and unallocable,1320,8128032
2019,PA,Total - All Government Employment Functions,140477,838199918
2019,PA,Financial Administration,5881,30154670
2019,PA,Other Government Administration,3368,16812754
2019,PA,Judicial and Legal,3084,32517791
2019,PA,Police Protection Total,6312,44098137
2019,PA,Police Protection - Persons with Power of Arrest,4491,36123349
2019,PA,Police Protection - Other,1821,7974788
2019,PA,Fire Protection Total,0,0
2019,PA,Fire Protection - Firefighters,0,0
2019,PA,Fire Protection - Other,0,0
2019,PA,Corrections,17222,101541378
2019,PA,Highways,12718,65467593
2019,PA,Air Transportation,26,144194
2019,PA,Sea and Inland Port Facilities,0,0
2019,PA,Public Welfare,11355,49491258
2019,PA,Health,5007,24099714
2019,PA,Hospitals,7719,46582073
2019,PA,Social Insurance Administration,1730,8403481
2019,PA,Solid Waste Management,0,0
2019,PA,Sewerage,0,0
2019,PA,Parks and Recreation,1065,5006708
2019,PA,Housing and Community Development,0,0
2019,PA,Natural Resources,4883,24708843
2019,PA,Water Supply,0,0
2019,PA,Electric Power,0,0
2019,PA,Gas Supply,0,0
2019,PA,Transit,0,0
2019,PA,Education Total,52450,351820086
2019,PA,Education - Elementary and Secondary Total,0,0
2019,PA,Education - Elementary and Secondary Instructional,0,0
2019,PA,Education - Elementary and Secondary Other,0,0
2019,PA,Education - Higher Education Total,47877,330301068
2019,PA,Education - Higher Education Instructional,15588,152939289
2019,PA,Education - Higher Education Other,32289,177361779
2019,PA,Education - Other,4573,21519018
2019,PA,Libraries,0,0
2019,PA,State liquor stores,3135,12256260
2019,PA,All other and unallocable,4522,25094978
2019,RI,Total - All Government Employment Functions,17719,111376530
2019,RI,Financial Administration,919,5273237
2019,RI,Other Government Administration,804,5420443
2019,RI,Judicial and Legal,1171,7684677
2019,RI,Police Protection Total,338,3067328
2019,RI,Police Protection - Persons with Power of Arrest,268,2473623
2019,RI,Police Protection - Other,70,593705
2019,RI,Fire Protection Total,0,0
2019,RI,Fire Protection - Firefighters,0,0
2019,RI,Fire Protection - Other,0,0
2019,RI,Corrections,1458,11476353
2019,RI,Highways,758,4967480
2019,RI,Air Transportation,145,1164785
2019,RI,Sea and Inland Port Facilities,0,0
2019,RI,Public Welfare,1446,9171883
2019,RI,Health,940,5935825
2019,RI,Hospitals,666,4087423
2019,RI,Social Insurance Administration,377,2062074
2019,RI,Solid Waste Management,109,764652
2019,RI,Sewerage,255,1417186
2019,RI,Parks and Recreation,55,235830
2019,RI,Housing and Community Development,10,68439
2019,RI,Natural Resources,366,2300519
2019,RI,Water Supply,0,0
2019,RI,Electric Power,0,0
2019,RI,Gas Supply,0,0
2019,RI,Transit,809,4530142
2019,RI,Education Total,5429,30451400
2019,RI,Education - Elementary and Secondary Total,420,1880504
2019,RI,Education - Elementary and Secondary Instructional,353,1655555
2019,RI,Education - Elementary and Secondary Other,67,224949
2019,RI,Education - Higher Education Total,4550,25422729
2019,RI,Education - Higher Education Instructional,1747,10782218
2019,RI,Education - Higher Education Other,2803,14640511
2019,RI,Education - Other,459,3148167
2019,RI,Libraries,0,0
2019,RI,State liquor stores,0,0
2019,RI,All other and unallocable,1664,11296854
2019,SC,Total - All Government Employment Functions,76168,341361630
2019,SC,Financial Administration,3340,13534130
2019,SC,Other Government Administration,517,2398900
2019,SC,Judicial and Legal,945,5138632
2019,SC,Police Protection Total,2065,8604217
2019,SC,Police Protection - Persons with Power of Arrest,1400,6247458
2019,SC,Police Protection - Other,665,2356759
2019,SC,Fire Protection Total,0,0
2019,SC,Fire Protection - Firefighters,0,0
2019,SC,Fire Protection - Other,0,0
2019,SC,Corrections,7287,27817853
2019,SC,Highways,4266,16072108
2019,SC,Air Transportation,10,61678
2019,SC,Sea and Inland Port Facilities,666,5067129
2019,SC,Public Welfare,5590,17577821
2019,SC,Health,5016,20071480
2019,SC,Hospitals,6511,23907898
2019,SC,Social Insurance Administration,891,3307932
2019,SC,Solid Waste Management,0,0
2019,SC,Sewerage,0,0
2019,SC,Parks and Recreation,879,2072472
2019,SC,Housing and Community Development,119,572527
2019,SC,Natural Resources,2066,7637328
2019,SC,Water Supply,12,79076
2019,SC,Electric Power,1658,12157626
2019,SC,Gas Supply,0,0
2019,SC,Transit,0,0
2019,SC,Education Total,32600,167922251
2019,SC,Education - Elementary and Secondary Total,0,0
2019,SC,Education - Elementary and Secondary Instructional,0,0
2019,SC,Education - Elementary and Secondary Other,0,0
2019,SC,Education - Higher Education Total,29661,155464964
2019,SC,Education - Higher Education Instructional,10526,71776043
2019,SC,Education - Higher Education Other,19135,83688921
2019,SC,Education - Other,2939,12457287
2019,SC,Libraries,46,190447
2019,SC,State liquor stores,0,0
2019,SC,All other and unallocable,1684,7170125
2019,SD,Total - All Government Employment Functions,12434,59123241
2019,SD,Financial Administration,391,2158995
2019,SD,Other Government Administration,341,1614999
2019,SD,Judicial and Legal,712,3718354
2019,SD,Police Protection Total,349,1639277
2019,SD,Police Protection - Persons with Power of Arrest,220,1129307
2019,SD,Police Protection - Other,129,509970
2019,SD,Fire Protection Total,0,0
2019,SD,Fire Protection - Firefighters,0,0
2019,SD,Fire Protection - Other,0,0
2019,SD,Corrections,712,2963667
2019,SD,Highways,970,5020054
2019,SD,Air Transportation,0,0
2019,SD,Sea and Inland Port Facilities,0,0
2019,SD,Public Welfare,1517,6186828
2019,SD,Health,651,3102570
2019,SD,Hospitals,276,1003108
2019,SD,Social Insurance Administration,224,781585
2019,SD,Solid Waste Management,0,0
2019,SD,Sewerage,0,0
2019,SD,Parks and Recreation,125,495954
2019,SD,Housing and Community Development,0,0
2019,SD,Natural Resources,792,3332208
2019,SD,Water Supply,0,0
2019,SD,Electric Power,0,0
2019,SD,Gas Supply,0,0
2019,SD,Transit,0,0
2019,SD,Education Total,4620,23511857
2019,SD,Education - Elementary and Secondary Total,0,0
2019,SD,Education - Elementary and Secondary Instructional,0,0
2019,SD,Education - Elementary and Secondary Other,0,0
2019,SD,Education - Higher Education Total,4216,21786022
2019,SD,Education - Higher Education Instructional,1546,10284534
2019,SD,Education - Higher Education Other,2670,11501488
2019,SD,Education - Other,404,1725835
2019,SD,Libraries,0,0
2019,SD,State liquor stores,0,0
2019,SD,All other and unallocable,754,3593785
2019,TN,Total - All Government Employment Functions,71094,347411753
2019,TN,Financial Administration,4158,22137656
2019,TN,Other Government Administration,773,3491089
2019,TN,Judicial and Legal,2627,16839990
2019,TN,Police Protection Total,1675,9135411
2019,TN,Police Protection - Persons with Power of Arrest,1146,6897468
2019,TN,Police Protection - Other,529,2237943
2019,TN,Fire Protection Total,0,0
2019,TN,Fire Protection - Firefighters,0,0
2019,TN,Fire Protection - Other,0,0
2019,TN,Corrections,5851,21812813
2019,TN,Highways,4073,18492607
2019,TN,Air Transportation,0,0
2019,TN,Sea and Inland Port Facilities,0,0
2019,TN,Public Welfare,7363,29945696
2019,TN,Health,4071,20624114
2019,TN,Hospitals,2839,12043522
2019,TN,Social Insurance Administration,570,2127724
2019,TN,Solid Waste Management,0,0
2019,TN,Sewerage,0,0
2019,TN,Parks and Recreation,906,2981883
2019,TN,Housing and Community Development,0,0
2019,TN,Natural Resources,3257,15760287
2019,TN,Water Supply,0,0
2019,TN,Electric Power,0,0
2019,TN,Gas Supply,0,0
2019,TN,Transit,0,0
2019,TN,Education Total,29923,158537568
2019,TN,Education - Elementary and Secondary Total,0,0
2019,TN,Education - Elementary and Secondary Instructional,0,0
2019,TN,Education - Elementary and Secondary Other,0,0
2019,TN,Education - Higher Education Total,27869,149380035
2019,TN,Education - Higher Education Instructional,9482,68222484
2019,TN,Education - Higher Education Other,18387,81157551
2019,TN,Education - Other,2054,9157533
2019,TN,Libraries,0,0
2019,TN,State liquor stores,0,0
2019,TN,All other and unallocable,3008,13481393
2019,TX,Total - All Government Employment Functions,282897,1573273892
2019,TX,Financial Administration,7738,42681924
2019,TX,Other Government Administration,2193,11021803
2019,TX,Judicial and Legal,5519,33617181
2019,TX,Police Protection Total,7353,51877990
2019,TX,Police Protection - Persons with Power of Arrest,4181,37570377
2019,TX,Police Protection - Other,3172,14307613
2019,TX,Fire Protection Total,0,0
2019,TX,Fire Protection - Firefighters,0,0
2019,TX,Fire Protection - Other,0,0
2019,TX,Corrections,39008,141623787
2019,TX,Highways,12425,61646081
2019,TX,Air Transportation,0,0
2019,TX,Sea and Inland Port Facilities,0,0
2019,TX,Public Welfare,24552,100301611
2019,TX,Health,20295,101792795
2019,TX,Hospitals,22117,108485349
2019,TX,Social Insurance Administration,4485,18317325
2019,TX,Solid Waste Management,0,0
2019,TX,Sewerage,0,0
2019,TX,Parks and Recreation,1285,4188948
2019,TX,Housing and Community Development,0,0
2019,TX,Natural Resources,10093,51803287
2019,TX,Water Supply,0,0
2019,TX,Electric Power,0,0
2019,TX,Gas Supply,0,0
2019,TX,Transit,0,0
2019,TX,Education Total,118103,805896221
2019,TX,Education - Elementary and Secondary Total,14,61014
2019,TX,Education - Elementary and Secondary Instructional,11,48791
2019,TX,Education - Elementary and Secondary Other,3,12223
2019,TX,Education - Higher Education Total,116001,793576886
2019,TX,Education - Higher Education Instructional,32396,348089598
2019,TX,Education - Higher Education Other,83605,445487288
2019,TX,Education - Other,2088,12258321
2019,TX,Libraries,0,0
2019,TX,State liquor stores,0,0
2019,TX,All other and unallocable,7731,40019590
2019,UT,Total - All Government Employment Functions,53986,301853677
2019,UT,Financial Administration,2396,13124306
2019,UT,Other Government Administration,345,2005924
2019,UT,Judicial and Legal,1564,8899850
2019,UT,Police Protection Total,854,4217836
2019,UT,Police Protection - Persons with Power of Arrest,459,2538805
2019,UT,Police Protection - Other,395,1679031
2019,UT,Fire Protection Total,0,0
2019,UT,Fire Protection - Firefighters,0,0
2019,UT,Fire Protection - Other,0,0
2019,UT,Corrections,3058,12959218
2019,UT,Highways,1595,8054449
2019,UT,Air Transportation,0,0
2019,UT,Sea and Inland Port Facilities,0,0
2019,UT,Public Welfare,2820,10815349
2019,UT,Health,2036,9622317
2019,UT,Hospitals,10196,49881656
2019,UT,Social Insurance Administration,943,3950144
2019,UT,Solid Waste Management,0,0
2019,UT,Sewerage,0,0
2019,UT,Parks and Recreation,243,1006787
2019,UT,Housing and Community Development,0,0
2019,UT,Natural Resources,1249,5499988
2019,UT,Water Supply,0,0
2019,UT,Electric Power,0,0
2019,UT,Gas Supply,0,0
2019,UT,Transit,0,0
2019,UT,Education Total,24758,163058791
2019,UT,Education - Elementary and Secondary Total,0,0
2019,UT,Education - Elementary and Secondary Instructional,0,0
2019,UT,Education - Elementary and Secondary Other,0,0
2019,UT,Education - Higher Education Total,23287,155966115
2019,UT,Education - Higher Education Instructional,8656,82781276
2019,UT,Education - Higher Education Other,14631,73184839
2019,UT,Education - Other,1471,7092676
2019,UT,Libraries,0,0
2019,UT,State liquor stores,309,881126
2019,UT,All other and unallocable,1620,7875936
2019,VT,Total - All Government Employment Functions,12697,74067060
2019,VT,Financial Administration,806,4793352
2019,VT,Other Government Administration,481,2486900
2019,VT,Judicial and Legal,656,3944271
2019,VT,Police Protection Total,575,4164715
2019,VT,Police Protection - Persons with Power of Arrest,356,2909851
2019,VT,Police Protection - Other,219,1254864
2019,VT,Fire Protection Total,0,0
2019,VT,Fire Protection - Firefighters,0,0
2019,VT,Fire Protection - Other,0,0
2019,VT,Corrections,997,5447138
2019,VT,Highways,987,5536550
2019,VT,Air Transportation,0,0
2019,VT,Sea and Inland Port Facilities,0,0
2019,VT,Public Welfare,1478,8189540
2019,VT,Health,466,2738071
2019,VT,Hospitals,240,1294632
2019,VT,Social Insurance Administration,219,1090565
2019,VT,Solid Waste Management,0,0
2019,VT,Sewerage,0,0
2019,VT,Parks and Recreation,119,621596
2019,VT,Housing and Community Development,0,0
2019,VT,Natural Resources,586,3435075
2019,VT,Water Supply,0,0
2019,VT,Electric Power,0,0
2019,VT,Gas Supply,0,0
2019,VT,Transit,0,0
2019,VT,Education Total,3975,23782748
2019,VT,Education - Elementary and Secondary Total,0,0
2019,VT,Education - Elementary and Secondary Instructional,0,0
2019,VT,Education - Elementary and Secondary Other,0,0
2019,VT,Education - Higher Education Total,3648,21933107
2019,VT,Education - Higher Education Instructional,908,8858129
2019,VT,Education - Higher Education Other,2740,13074978
2019,VT,Education - Other,327,1849641
2019,VT,Libraries,0,0
2019,VT,State liquor stores,48,260998
2019,VT,All other and unallocable,1064,6280909
2019,VA,Total - All Government Employment Functions,109555,602227391
2019,VA,Financial Administration,4437,20776336
2019,VA,Other Government Administration,568,3515696
2019,VA,Judicial and Legal,3789,20244079
2019,VA,Police Protection Total,3078,17264714
2019,VA,Police Protection - Persons with Power of Arrest,2292,14121843
2019,VA,Police Protection - Other,786,3142871
2019,VA,Fire Protection Total,0,0
2019,VA,Fire Protection - Firefighters,0,0
2019,VA,Fire Protection - Other,0,0
2019,VA,Corrections,12948,47820718
2019,VA,Highways,7497,39254662
2019,VA,Air Transportation,0,0
2019,VA,Sea and Inland Port Facilities,204,1582632
2019,VA,Public Welfare,2982,14531768
2019,VA,Health,6642,33023378
2019,VA,Hospitals,10642,54311862
2019,VA,Social Insurance Administration,1025,4400268
2019,VA,Solid Waste Management,0,0
2019,VA,Sewerage,0,0
2019,VA,Parks and Recreation,793,3271008
2019,VA,Housing and Community Development,414,3062563
2019,VA,Natural Resources,2223,13445285
2019,VA,Water Supply,0,0
2019,VA,Electric Power,0,0
2019,VA,Gas Supply,0,0
2019,VA,Transit,0,0
2019,VA,Education Total,47653,301709057
2019,VA,Education - Elementary and Secondary Total,0,0
2019,VA,Education - Elementary and Secondary Instructional,0,0
2019,VA,Education - Elementary and Secondary Other,0,0
2019,VA,Education - Higher Education Total,45768,292075199
2019,VA,Education - Higher Education Instructional,17676,153562086
2019,VA,Education - Higher Education Other,28092,138513113
2019,VA,Education - Other,1885,9633858
2019,VA,Libraries,0,0
2019,VA,State liquor stores,1099,4125776
2019,VA,All other and unallocable,3561,19887589
2019,WA,Total - All Government Employment Functions,107609,656110105
2019,WA,Financial Administration,2950,18367556
2019,WA,Other Government Administration,1035,5910699
2019,WA,Judicial and Legal,2139,14618804
2019,WA,Police Protection Total,2187,14082774
2019,WA,Police Protection - Persons with Power of Arrest,1191,8698409
2019,WA,Police Protection - Other,996,5384365
2019,WA,Fire Protection Total,0,0
2019,WA,Fire Protection - Firefighters,0,0
2019,WA,Fire Protection - Other,0,0
2019,WA,Corrections,8482,42893918
2019,WA,Highways,6427,38786316
2019,WA,Air Transportation,0,0
2019,WA,Sea and Inland Port Facilities,3,20172
2019,WA,Public Welfare,10909,57577133
2019,WA,Health,7627,38366091
2019,WA,Hospitals,10714,66278522
2019,WA,Social Insurance Administration,1704,8800163
2019,WA,Solid Waste Management,456,2751958
2019,WA,Sewerage,0,0
2019,WA,Parks and Recreation,629,3235368
2019,WA,Housing and Community Development,71,545031
2019,WA,Natural Resources,4719,24319899
2019,WA,Water Supply,0,0
2019,WA,Electric Power,0,0
2019,WA,Gas Supply,0,0
2019,WA,Transit,0,0
2019,WA,Education Total,40620,281371444
2019,WA,Education - Elementary and Secondary Total,0,0
2019,WA,Education - Elementary and Secondary Instructional,0,0
2019,WA,Education - Elementary and Secondary Other,0,0
2019,WA,Education - Higher Education Total,39577,275499130
2019,WA,Education - Higher Education Instructional,14169,135593264
2019,WA,Education - Higher Education Other,25408,139905866
2019,WA,Education - Other,1043,5872314
2019,WA,Libraries,0,0
2019,WA,State liquor stores,349,1855493
2019,WA,All other and unallocable,6588,36328764
2019,WV,Total - All Government Employment Functions,34879,152363164
2019,WV,Financial Administration,1804,6363623
2019,WV,Other Government Administration,300,1311543
2019,WV,Judicial and Legal,1617,7897241
2019,WV,Police Protection Total,1002,4491125
2019,WV,Police Protection - Persons with Power of Arrest,635,3344163
2019,WV,Police Protection - Other,367,1146962
2019,WV,Fire Protection Total,0,0
2019,WV,Fire Protection - Firefighters,0,0
2019,WV,Fire Protection - Other,0,0
2019,WV,Corrections,3279,11196312
2019,WV,Highways,5044,19874251
2019,WV,Air Transportation,3,13398
2019,WV,Sea and Inland Port Facilities,2,9567
2019,WV,Public Welfare,3257,9893279
2019,WV,Health,717,2487367
2019,WV,Hospitals,1380,4534154
2019,WV,Social Insurance Administration,455,1767725
2019,WV,Solid Waste Management,9,39743
2019,WV,Sewerage,0,0
2019,WV,Parks and Recreation,325,859794
2019,WV,Housing and Community Development,0,0
2019,WV,Natural Resources,1625,6639538
2019,WV,Water Supply,0,0
2019,WV,Electric Power,0,0
2019,WV,Gas Supply,0,0
2019,WV,Transit,6,29378
2019,WV,Education Total,11678,65652029
2019,WV,Education - Elementary and Secondary Total,0,0
2019,WV,Education - Elementary and Secondary Instructional,0,0
2019,WV,Education - Elementary and Secondary Other,0,0
2019,WV,Education - Higher Education Total,10475,59854604
2019,WV,Education - Higher Education Instructional,4245,29647675
2019,WV,Education - Higher Education Other,6230,30206929
2019,WV,Education - Other,1203,5797425
2019,WV,Libraries,0,0
2019,WV,State liquor stores,75,224486
2019,WV,All other and unallocable,2301,9078611
2019,WI,Total - All Government Employment Functions,58034,333268466
2019,WI,Financial Administration,2394,13056467
2019,WI,Other Government Administration,855,4465314
2019,WI,Judicial and Legal,2232,15251424
2019,WI,Police Protection Total,749,4466626
2019,WI,Police Protection - Persons with Power of Arrest,523,3398796
2019,WI,Police Protection - Other,226,1067830
2019,WI,Fire Protection Total,0,0
2019,WI,Fire Protection - Firefighters,0,0
2019,WI,Fire Protection - Other,0,0
2019,WI,Corrections,8705,41719917
2019,WI,Highways,1339,7880953
2019,WI,Air Transportation,0,0
2019,WI,Sea and Inland Port Facilities,0,0
2019,WI,Public Welfare,2090,10276893
2019,WI,Health,1410,7981579
2019,WI,Hospitals,3319,15495309
2019,WI,Social Insurance Administration,717,3192826
2019,WI,Solid Waste Management,0,0
2019,WI,Sewerage,0,0
2019,WI,Parks and Recreation,152,730435
2019,WI,Housing and Community Development,0,0
2019,WI,Natural Resources,2055,10433962
2019,WI,Water Supply,0,0
2019,WI,Electric Power,0,0
2019,WI,Gas Supply,0,0
2019,WI,Transit,0,0
2019,WI,Education Total,28044,174957608
2019,WI,Education - Elementary and Secondary Total,0,0
2019,WI,Education - Elementary and Secondary Instructional,0,0
2019,WI,Education - Elementary and Secondary Other,0,0
2019,WI,Education - Higher Education Total,27159,170170607
2019,WI,Education - Higher Education Instructional,8859,68818703
2019,WI,Education - Higher Education Other,18300,101351904
2019,WI,Education - Other,885,4787001
2019,WI,Libraries,0,0
2019,WI,State liquor stores,0,0
2019,WI,All other and unallocable,3973,23359153
2019,WY,Total - All Government Employment Functions,11664,56863864
2019,WY,Financial Administration,707,3752803
2019,WY,Other Government Administration,83,456694
2019,WY,Judicial and Legal,556,3345814
2019,WY,Police Protection Total,263,1390546
2019,WY,Police Protection - Persons with Power of Arrest,176,879046
2019,WY,Police Protection - Other,87,511500
2019,WY,Fire Protection Total,0,0
2019,WY,Fire Protection - Firefighters,0,0
2019,WY,Fire Protection - Other,0,0
2019,WY,Corrections,1172,4460996
2019,WY,Highways,1704,6958447
2019,WY,Air Transportation,0,0
2019,WY,Sea and Inland Port Facilities,0,0
2019,WY,Public Welfare,539,2179398
2019,WY,Health,802,4023192
2019,WY,Hospitals,631,2275059
2019,WY,Social Insurance Administration,125,509580
2019,WY,Solid Waste Management,0,0
2019,WY,Sewerage,0,0
2019,WY,Parks and Recreation,201,877239
2019,WY,Housing and Community Development,0,0
2019,WY,Natural Resources,942,4443675
2019,WY,Water Supply,0,0
2019,WY,Electric Power,0,0
2019,WY,Gas Supply,0,0
2019,WY,Transit,0,0
2019,WY,Education Total,2949,17550703
2019,WY,Education - Elementary and Secondary Total,0,0
2019,WY,Education - Elementary and Secondary Instructional,0,0
2019,WY,Education - Elementary and Secondary Other,0,0
2019,WY,Education - Higher Education Total,2717,16245168
2019,WY,Education - Higher Education Instructional,945,7776942
2019,WY,Education - Higher Education Other,1772,8468226
2019,WY,Education - Other,232,1305535
2019,WY,Libraries,0,0
2019,WY,State liquor stores,36,144249
2019,WY,All other and unallocable,954,4495469
2020,US,Total - All Government Employment Functions,3911804,23111905605
2020,US,Financial Administration,168706,952340990
2020,US,Other Government Administration,49118,281173797
2020,US,Judicial and Legal,175173,1110276207
2020,US,Police Protection Total,105069,713451354
2020,US,Police Protection - Persons with Power of Arrest,67323,524127908
2020,US,Police Protection - Other,37746,189323446
2020,US,Fire Protection Total,0,0
2020,US,Fire Protection - Firefighters,0,0
2020,US,Fire Protection - Other,0,0
2020,US,Corrections,431748,2324393383
2020,US,Highways,205912,1127189945
2020,US,Air Transportation,3197,21460684
2020,US,Sea and Inland Port Facilities,4803,32503220
2020,US,Public Welfare,245590,1123050109
2020,US,Health,188067,999372767
2020,US,Hospitals,370103,2113171656
2020,US,Social Insurance Administration,60454,321114724
2020,US,Solid Waste Management,2194,13797236
2020,US,Sewerage,1654,12445279
2020,US,Parks and Recreation,30681,129628335
2020,US,Housing and Community Development,1587,10754040
2020,US,Natural Resources,118728,633507853
2020,US,Water Supply,718,4768438
2020,US,Electric Power,4166,37237713
2020,US,Gas Supply,0,0
2020,US,Transit,38385,292541850
2020,US,Education Total,1531671,9870075421
2020,US,Education - Elementary and Secondary Total,45300,257257349
2020,US,Education - Elementary and Secondary Instructional,34014,209558109
2020,US,Education - Elementary and Secondary Other,11286,47699240
2020,US,Education - Higher Education Total,1413293,9222038863
2020,US,Education - Higher Education Instructional,452228,4087793335
2020,US,Education - Higher Education Other,961065,5134245528
2020,US,Education - Other,73078,390779209
2020,US,Libraries,591,2340960
2020,US,State liquor stores,6888,28268974
2020,US,All other and unallocable,166601,957040670
2020,AL,Total - All Government Employment Functions,82875,430776969
2020,AL,Financial Administration,2068,10581141
2020,AL,Other Government Administration,484,2707739
2020,AL,Judicial and Legal,3015,15951411
2020,AL,Police Protection Total,1625,8748504
2020,AL,Police Protection - Persons with Power of Arrest,866,4245024
2020,AL,Police Protection - Other,759,4503480
2020,AL,Fire Protection Total,0,0
2020,AL,Fire Protection - Firefighters,0,0
2020,AL,Fire Protection - Other,0,0
2020,AL,Corrections,4158,20306854
2020,AL,Highways,4332,18012924
2020,AL,Air Transportation,0,0
2020,AL,Sea and Inland Port Facilities,519,3019621
2020,AL,Public Welfare,4203,16232396
2020,AL,Health,6207,26441330
2020,AL,Hospitals,12485,63492445
2020,AL,Social Insurance Administration,794,3351518
2020,AL,Solid Waste Management,0,0
2020,AL,Sewerage,0,0
2020,AL,Parks and Recreation,345,990697
2020,AL,Housing and Community Development,0,0
2020,AL,Natural Resources,1824,7956036
2020,AL,Water Supply,0,0
2020,AL,Electric Power,0,0
2020,AL,Gas Supply,0,0
2020,AL,Transit,0,0
2020,AL,Education Total,38175,221383199
2020,AL,Education - Elementary and Secondary Total,0,0
2020,AL,Education - Elementary and Secondary Instructional,0,0
2020,AL,Education - Elementary and Secondary Other,0,0
2020,AL,Education - Higher Education Total,35229,208180065
2020,AL,Education - Higher Education Instructional,11193,92303241
2020,AL,Education - Higher Education Other,24036,115876824
2020,AL,Education - Other,2946,13203134
2020,AL,Libraries,0,0
2020,AL,State liquor stores,876,2723461
2020,AL,All other and unallocable,1765,8877693
2020,AK,Total - All Government Employment Functions,21956,139636044
2020,AK,Financial Administration,953,6534306
2020,AK,Other Government Administration,744,4427870
2020,AK,Judicial and Legal,1643,10769354
2020,AK,Police Protection Total,620,5443973
2020,AK,Police Protection - Persons with Power of Arrest,335,3887226
